time,offerType
2022-03-07 08:30:00,3
2022-03-07 08:30:07,2
2022-03-07 08:31:17,3
2022-03-07 08:32:53,3
2022-03-07 08:36:20,2
2022-03-07 08:40:16,2
2022-03-07 08:44:21,3
2022-03-07 08:44:44,2
2022-03-07 08:45:00,3
2022-03-07 08:46:00,2
2022-03-07 08:46:55,2
2022-03-07 08:49:43,2
2022-03-07 08:53:21,3
2022-03-07 08:54:30,2
2022-03-07 08:56:22,3
2022-03-07 08:57:33,2
2022-03-07 09:00:20,2
2022-03-07 09:01:24,3
2022-03-07 09:01:58,2
2022-03-07 09:03:04,3
2022-03-07 09:04:03,3
2022-03-07 09:04:24,2
2022-03-07 09:05:45,3
2022-03-07 09:05:47,2
2022-03-07 09:06:22,2
2022-03-07 09:06:26,3
2022-03-07 09:06:39,2
2022-03-07 09:07:20,3
2022-03-07 09:08:14,3
2022-03-07 09:08:19,1
2022-03-07 09:08:22,2
2022-03-07 09:08:38,3
2022-03-07 09:09:08,2
2022-03-07 09:09:31,2
2022-03-07 09:10:49,3
2022-03-07 09:10:58,2
2022-03-07 09:12:10,2
2022-03-07 09:12:52,2
2022-03-07 09:13:18,2
2022-03-07 09:13:29,2
2022-03-07 09:13:56,3
2022-03-07 09:14:22,2
2022-03-07 09:14:27,2
2022-03-07 09:15:33,2
2022-03-07 09:16:10,3
2022-03-07 09:19:24,3
2022-03-07 09:19:32,3
2022-03-07 09:19:46,2
2022-03-07 09:21:00,2
2022-03-07 09:21:33,2
2022-03-07 09:22:29,2
2022-03-07 09:22:31,3
2022-03-07 09:24:38,3
2022-03-07 09:24:45,3
2022-03-07 09:25:27,3
2022-03-07 09:25:54,4
2022-03-07 09:26:08,2
2022-03-07 09:26:13,4
2022-03-07 09:27:30,3
2022-03-07 09:28:28,2
2022-03-07 09:30:34,2
2022-03-07 09:31:14,2
2022-03-07 09:31:28,2
2022-03-07 09:31:52,0
2022-03-07 09:32:01,3
2022-03-07 09:32:48,2
2022-03-07 09:33:21,1
2022-03-07 09:33:31,2
2022-03-07 09:34:02,3
2022-03-07 09:34:42,3
2022-03-07 09:34:42,2
2022-03-07 09:34:48,2
2022-03-07 09:35:06,2
2022-03-07 09:35:29,2
2022-03-07 09:36:37,3
2022-03-07 09:36:54,2
2022-03-07 09:37:38,2
2022-03-07 09:38:41,3
2022-03-07 09:38:41,2
2022-03-07 09:40:19,2
2022-03-07 09:41:26,1
2022-03-07 09:43:41,2
2022-03-07 09:44:55,2
2022-03-07 09:49:03,3
2022-03-07 09:52:18,2
2022-03-07 09:53:49,2
2022-03-07 09:54:06,3
2022-03-07 09:54:22,2
2022-03-07 09:54:42,2
2022-03-07 09:55:08,3
2022-03-07 09:55:40,2
2022-03-07 09:56:38,2
2022-03-07 09:57:02,2
2022-03-07 09:57:30,2
2022-03-07 09:57:40,3
2022-03-07 09:58:12,2
2022-03-07 09:58:15,3
2022-03-07 10:02:04,3
2022-03-07 10:02:13,2
2022-03-07 10:02:40,3
2022-03-07 10:04:39,3
2022-03-07 10:05:03,2
2022-03-07 10:05:20,2
2022-03-07 10:05:58,3
2022-03-07 10:06:28,2
2022-03-07 10:06:40,2
2022-03-07 10:07:02,3
2022-03-07 10:07:26,2
2022-03-07 10:08:28,1
2022-03-07 10:08:46,2
2022-03-07 10:10:21,1
2022-03-07 10:11:52,2
2022-03-07 10:14:45,3
2022-03-07 10:15:34,3
2022-03-07 10:17:13,0
2022-03-07 10:17:14,4
2022-03-07 10:18:12,3
2022-03-07 10:22:55,2
2022-03-07 10:23:04,3
2022-03-07 10:23:20,2
2022-03-07 10:24:46,3
2022-03-07 10:24:46,1
2022-03-07 10:25:04,2
2022-03-07 10:25:18,2
2022-03-07 10:25:37,1
2022-03-07 10:26:06,2
2022-03-07 10:26:40,2
